timestamp_ms,queue_length,active_workers,completed_tasks
1,3,0,0
102,2,2,13
203,2,2,28
304,1,4,40
405,3,6,62
506,1,4,81
607,2,2,100
707,1,6,121
808,2,2,143
910,1,6,153
1011,2,6,173
1112,1,5,193
1220,1,5,211
1321,2,3,230
1423,2,4,245
1524,5,4,262
1625,1,8,278
1726,2,5,294
1827,1,7,314
1928,2,5,336
2030,2,7,356
2133,3,3,380
2234,4,7,400
2334,1,4,426
2435,1,6,445
2536,4,6,469
2637,2,8,490
2738,2,6,513
2838,0,6,537
2941,1,8,559
3042,2,8,580
3143,2,5,604
3244,2,7,622
3345,0,7,642
3445,4,8,662
3546,1,8,686
3647,3,5,710
3748,1,5,730
3849,4,7,749
3950,2,8,770
4050,2,8,798
4153,1,6,823
4254,2,5,851
4355,2,5,866
4456,0,4,891
4557,5,2,904
4658,1,6,918
4759,1,4,936
4859,2,5,960
4961,2,7,983
5064,0,1,999
