timestamp_ms,queue_length,active_workers,completed_tasks
1,2,0,0
102,2,2,13
203,2,3,27
306,0,4,40
407,3,8,60
507,1,5,81
608,3,3,96
709,0,6,119
810,0,5,139
911,1,3,156
1013,3,6,172
1114,2,4,192
1222,1,5,209
1325,2,3,228
1427,2,5,243
1528,5,4,262
1629,1,8,278
1729,2,5,294
1830,1,6,316
1931,2,4,335
2032,1,8,352
2133,1,4,379
2234,2,8,396
2335,1,6,424
2435,1,8,441
2536,4,5,470
2637,2,7,489
2738,2,7,510
2839,0,7,533
2939,2,7,554
3042,2,8,576
3142,1,7,599
3243,1,7,621
3344,0,8,641
3445,3,8,658
3545,5,6,685
3646,2,6,713
3747,2,5,735
3848,4,6,753
3949,2,7,773
4050,4,8,801
4150,1,6,821
4251,4,5,850
4353,0,5,865
4456,3,4,884
4557,4,2,904
4658,1,6,918
4759,1,6,935
4860,2,6,956
4961,3,6,983
5061,0,0,1000
