timestamp_ms,queue_length,active_workers,completed_tasks
3,2,0,0
104,2,2,13
204,2,3,27
305,0,4,39
406,3,8,59
507,1,5,80
607,3,2,99
708,0,6,120
809,0,5,139
910,1,3,156
1010,3,6,171
1111,2,4,193
1214,2,6,208
1317,1,5,226
1419,1,5,242
1526,4,4,262
1627,1,8,277
1728,1,5,296
1829,0,8,315
1929,0,4,336
2030,1,7,356
2131,0,3,380
2232,1,8,397
2332,2,4,425
2433,1,8,441
2534,4,6,468
2635,2,6,493
2737,2,8,508
2838,1,7,533
2938,2,7,553
3043,2,7,576
3145,2,7,597
3246,2,7,625
3346,0,6,643
3447,5,7,660
3548,4,7,684
3649,3,7,711
3756,1,5,734
3856,3,7,754
3957,2,6,777
4063,3,7,803
4164,1,5,828
4265,0,8,844
4365,0,6,865
4466,3,3,891
4567,3,5,905
4668,1,5,920
4770,1,4,939
4870,1,6,960
4972,3,7,984
5073,0,0,1000
