timestamp_ms,queue_length,active_workers,completed_tasks
2,3,0,0
103,2,2,13
204,1,3,28
305,1,4,40
406,5,6,62
507,0,5,81
608,2,2,100
709,1,6,121
810,2,2,143
911,1,4,155
1014,3,5,173
1115,0,5,193
1216,1,4,210
1318,2,6,227
1420,2,5,244
1521,3,4,262
1622,2,8,277
1723,1,6,297
1823,1,6,317
1925,0,5,333
2027,1,7,353
2131,1,4,378
2232,4,8,397
2336,1,4,427
2441,2,8,446
2542,3,6,473
2643,2,7,491
2744,4,5,512
2846,0,7,535
2947,4,8,554
3048,3,8,577
3149,1,5,604
3250,3,8,621
3351,1,6,644
3452,4,8,663
3553,1,7,688
3658,1,5,717
3766,1,4,737
3867,1,7,758
3967,2,6,780
4068,1,8,804
4170,4,5,825
4271,4,7,850
4372,0,5,869
4473,1,5,892
4573,2,5,907
4675,0,4,922
4775,2,2,942
4876,2,6,963
4978,1,7,984
5079,0,0,1000
