timestamp_ms,queue_length,active_workers,completed_tasks
0,0,0,0
101,2,1,3
202,0,1,15
303,0,1,20
403,2,6,28
504,0,0,46
606,2,1,49
707,0,5,65
808,0,2,76
910,1,3,82
1010,2,1,93
1111,1,2,99
1212,0,1,107
1312,0,1,111
1413,0,4,116
1514,0,2,128
1615,0,2,137
1715,3,2,143
1816,1,1,153
1917,0,5,158
2018,0,2,170
2119,0,3,176
2220,1,2,181
2320,0,2,197
2421,1,3,209
2522,1,4,222
2624,1,3,233
2726,0,3,244
2827,2,4,254
2927,1,4,268
3028,2,1,280
3129,0,2,290
3230,0,2,301
3334,2,5,310
3435,0,5,327
3537,0,2,337
3639,2,2,350
3741,2,1,360
3842,3,3,372
3943,2,2,386
4043,4,5,398
4144,0,2,412
4245,3,3,420
4346,0,5,431
4446,0,1,444
4548,1,2,452
4648,1,4,460
4750,1,3,471
4851,1,4,480
4952,0,3,493
5052,0,0,500
