timestamp_ms,queue_length,active_workers,completed_tasks
2,2,0,0
103,2,2,13
205,2,3,27
306,0,4,39
407,4,8,60
508,1,5,82
608,3,3,97
709,0,6,119
810,0,4,140
911,1,3,156
1013,3,6,172
1114,2,4,192
1218,1,5,209
1322,2,4,227
1423,2,5,243
1525,1,4,262
1627,1,8,277
1728,1,4,296
1829,0,8,313
1930,0,4,337
2031,2,7,353
2132,0,3,380
2233,1,8,396
2333,2,4,425
2434,1,8,442
2535,4,5,470
2636,2,7,489
2736,2,6,512
2837,1,8,531
2938,2,8,555
3041,3,8,578
3142,0,6,600
3242,1,7,619
3343,0,7,638
3444,3,8,657
3545,5,6,684
3645,1,6,711
3746,2,5,734
3847,4,8,751
3948,2,6,778
4048,4,7,799
4151,1,7,819
4252,4,6,846
4352,1,6,864
4453,4,2,886
4554,2,2,904
4655,2,6,916
4756,2,6,934
4856,3,6,956
4957,2,7,980
5059,0,1,998
5160,0,0,1000
